accession,ambiguous_bases,checkm_completeness,checkm_contamination,checkm_marker_count,checkm_marker_lineage,checkm_marker_set_count,checkm_strain_heterogeneity,coding_bases,coding_density,contig_count,gc_count,gc_percentage,genome_size,gtdb_genome_representative,gtdb_representative,gtdb_taxonomy,gtdb_type_designation,gtdb_type_designation_sources,gtdb_type_species_of_genus,l50_contigs,l50_scaffolds,longest_contig,longest_scaffold,lsu_23s_contig_len,lsu_23s_count,lsu_23s_length,lsu_23s_query_id,lsu_5s_contig_len,lsu_5s_count,lsu_5s_length,lsu_5s_query_id,lsu_silva_23s_blast_align_len,lsu_silva_23s_blast_bitscore,lsu_silva_23s_blast_evalue,lsu_silva_23s_blast_perc_identity,lsu_silva_23s_blast_subject_id,lsu_silva_23s_taxonomy,mean_contig_length,mean_scaffold_length,mimag_high_quality,mimag_low_quality,mimag_medium_quality,n50_contigs,n50_scaffolds,ncbi_assembly_level,ncbi_assembly_name,ncbi_assembly_type,ncbi_bioproject,ncbi_biosample,ncbi_contig_count,ncbi_contig_n50,ncbi_country,ncbi_date,ncbi_genbank_assembly_accession,ncbi_genome_category,ncbi_genome_representation,ncbi_isolate,ncbi_isolation_source,ncbi_lat_lon,ncbi_molecule_count,ncbi_ncrna_count,ncbi_organism_name,ncbi_protein_count,ncbi_refseq_category,ncbi_rrna_count,ncbi_scaffold_count,ncbi_scaffold_l50,ncbi_scaffold_n50,ncbi_scaffold_n75,ncbi_scaffold_n90,ncbi_seq_rel_date,ncbi_spanned_gaps,ncbi_species_taxid,ncbi_ssu_count,ncbi_strain_identifiers,ncbi_submitter,ncbi_taxid,ncbi_taxonomy,ncbi_taxonomy_unfiltered,ncbi_total_gap_length,ncbi_total_length,ncbi_translation_table,ncbi_trna_count,ncbi_type_material_designation,ncbi_ungapped_length,ncbi_unspanned_gaps,ncbi_wgs_master,protein_count,scaffold_count,ssu_contig_len,ssu_count,ssu_gg_blast_align_len,ssu_gg_blast_bitscore,ssu_gg_blast_evalue,ssu_gg_blast_perc_identity,ssu_gg_blast_subject_id,ssu_gg_taxonomy,ssu_length,ssu_query_id,ssu_silva_blast_align_len,ssu_silva_blast_bitscore,ssu_silva_blast_evalue,ssu_silva_blast_perc_identity,ssu_silva_blast_subject_id,ssu_silva_taxonomy,total_gap_length,trna_aa_count,trna_count,trna_selenocysteine_count,checkm_qscore
GB_GCA_011363025.1,0,96.8,2.4,188,p__Euryarchaeota (UID3),125,0.0,1689870,94.119055840843,177,805506,44.8634890223118,1795460,GB_GCA_011363025.1,t,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__UBA184;f__DTFW01;g__DTFW01;s__DTFW01 sp011363025,not type material,none,f,43,43,60437,60437,13867,1,2935,DTFW01000123.1,15778,1,102,DTFW01000028.1,946,918,0,84.461,LJKK01000055.4920.7807,Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Methanomassiliicoccales archaeon RumEn M1,10143,10143,t,f,f,12429,12429,Contig,ASM1136302v1,na,PRJNA480137,SAMN09639878,177,12429,none,2020-03-16,GCA_011363025.1,derived from metagenome,full,SpSt-748,none,none,0,0,Euryarchaeota archaeon,none,na,3,none,none,none,none,none,2020/03/16,0,2026739,1,SpSt-748,The University of Hong Kong,2026739,d__Archaea;p__Euryarchaeota;c__;o__;f__;g__;s__,d__Archaea;p__Euryarchaeota;x__unclassified Euryarchaeota;s__Euryarchaeota archaeon,0,1795460,11,40,none,1795460,0,DTFW00000000.1,1649,177,14113,1,none,none,none,none,none,none,1545,DTFW01000135.1,731,1206,0,96.443,AF255608.1.1362,Archaea;Thermoplasmatota;Thermoplasmata;uncultured;crenarchaeote SRI-298,0,19,40,0,84.8
GB_GCA_004347925.1,120,92.37,1.94,149,k__Archaea (UID2),107,66.67,1149521,92.5957012858444,308,807060,65.0162206230298,1241441,GB_GCA_004347925.1,t,d__Archaea;p__Hadarchaeota;c__Hadarchaeia;o__Hadarchaeales;f__WYZ-LMO6;g__WYZ-LMO6;s__WYZ-LMO6 sp004347925,not type material,none,f,76,76,23733,23733,4872,2,639,QNVD01000305.1-#2,3702,1,116,QNVD01000038.1,201,300,1.62e-79,93.532,LQMP01000030.64984.68752,Archaea;Hadarchaeota;Hadarchaeia;Hadarchaeales;Hadesarchaea archaeon YNP_N21,4030,4030,f,f,t,5324,5324,Contig,ASM434792v1,na,PRJNA475886,SAMN09405034,308,5324,none,2019-03-12,GCA_004347925.1,derived from metagenome,full,WYZ-LMO6,none,none,0,0,Hadesarchaea archaeon,none,na,3,none,none,none,none,none,2019/03/12,0,2250276,2,WYZ-LMO6,Shanghai Jiao Tong University,2250276,d__Archaea;p__Euryarchaeota;c__Hadesarchaea;o__;f__;g__;s__,d__Archaea;p__Euryarchaeota;c__Hadesarchaea;x__unclassified Hadesarchaea;s__Hadesarchaea archaeon,0,1241441,11,37,none,1241441,0,QNVD00000000.1,1630,308,1481,2,none,none,none,none,none,none,451,QNVD01000186.1,449,797,0,98.664,KP784726.1.1449,Archaea;Hadarchaeota;Hadarchaeia;Hadarchaeales;uncultured archaeon,0,20,36,0,82.67
RS_GCF_900198835.1,0,100.0,0.0,299,p__Euryarchaeota (UID4),202,0.0,1974373,91.585937210079,1,1176542,54.5766690169592,2155760,RS_GCF_900198835.1,t,d__Archaea;p__Methanobacteriota_B;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__Thermococcus sp900198835,not type material,none,f,1,1,2155760,2155760,2155760,1,3011,NZ_LT900021.1,2155760,2,105,NZ_LT900021.1,3005,5550,0,100,LT900021.77605.80621,Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus sp. EXT12c,2155760,2155760,t,f,f,2155760,2155760,Complete Genome,chr_EXT12c,na,PRJNA224116,SAMEA104149373,none,none,none,2017-10-17,GCA_900198835.1,none,full,none,none,none,1,0,Thermococcus sp. EXT12c,2304,na,4,none,none,none,none,none,2017/10/17,0,2016361,1,EXT12c,Universite de Bretagne Occidentale,2016361,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;s__,d__Archaea;p__Euryarchaeota;c__Thermococci;o__Thermococcales;f__Thermococcaceae;g__Thermococcus;x__unclassified Thermococcus;s__Thermococcus sp. EXT12c,0,2155760,11,46,none,2155760,0,none,2335,1,2155760,1,none,none,none,none,none,none,1487,NZ_LT900021.1,1485,2737,0,99.933,CP007264.1093071.1094610,Archaea;Euryarchaeota;Thermococci;Thermococcales;Thermococcaceae;Thermococcus;Thermococcus nautili,0,20,46,0,100.0
GB_GCA_016205145.1,0,91.12,0.0,149,k__Archaea (UID2),107,0.0,1136210,90.8772432172596,2,641472,51.3067187941155,1250269,GB_GCA_016205145.1,t,d__Archaea;p__Iainarchaeota;c__Iainarchaeia;o__Iainarchaeales;f__JACQJH01;g__JACQJH01;s__JACQJH01 sp016205145,not type material,none,f,1,1,637306,637306,612963,1,2953,JACQJH010000001.1,none,0,none,none,2488,1644,0,79.059,CEPX01185513.1.2609,Archaea;Iainarchaeota;Iainarchaeia;Iainarchaeales;Candidatus Iainarchaeum;marine metagenome,625134,625134,f,f,t,637306,637306,Contig,ASM1620514v1,na,PRJNA640378,SAMN15435787,2,637306,none,2020-12-21,GCA_016205145.1,derived from metagenome,full,NC_groundwater_1146_Ag_S-0.1um_51_226,none,none,0,0,Candidatus Diapherotrites archaeon,none,na,2,none,none,none,none,none,2020/12/21,0,2026736,1,NC_groundwater_1146_Ag_S-0.1um_51_226,Innovative Genomics Institute,2026736,d__Archaea;p__Candidatus Diapherotrites;c__;o__;f__;g__;s__,d__Archaea;x__DPANN group;p__Candidatus Diapherotrites;x__unclassified Diapherotrites;s__Candidatus Diapherotrites archaeon,0,1250269,11,43,none,1250269,0,JACQJH000000000.1,1294,2,612963,1,none,none,none,none,none,none,1482,JACQJH010000001.1,1492,1365,0,83.445,CP010424.162769.164251,Archaea;Iainarchaeota;Iainarchaeia;Iainarchaeales;Candidatus Iainarchaeum;archaeon GW2011_AR10,0,17,38,0,91.12
GB_GCA_014728835.1,0,69.16,3.34,149,k__Archaea (UID2),107,20.0,535407,90.3963949970285,98,204033,34.448275163434,592288,GB_GCA_014728835.1,t,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__UBA10117;f__WJKY01;g__WJKY01;s__WJKY01 sp014728835,not type material,none,f,27,27,22117,22117,7195,1,2969,WJKY01000087.1,10888,1,99,WJKY01000040.1,2982,3960,0,90.778,AZIF01000273.6442.9422,Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;Methanofastidiosaceae;Candidatus Methanofastidiosum;marine sediment metagenome,6043,6043,f,f,t,7195,7195,Contig,ASM1472883v1,na,PRJNA561032,SAMN13151243,98,7195,none,2020-09-24,GCA_014728835.1,derived from metagenome,full,Bin_263,none,none,0,0,Candidatus Woesearchaeota archaeon,none,na,3,none,none,none,none,none,2020/09/24,0,2026803,1,Bin_263,University of New South Wales,2026803,d__Archaea;p__Candidatus Woesearchaeota;c__;o__;f__;g__;s__,d__Archaea;x__DPANN group;p__Candidatus Woesearchaeota;s__Candidatus Woesearchaeota archaeon,0,592288,11,26,none,592288,0,WJKY00000000.1,770,98,7195,1,none,none,none,none,none,none,1464,WJKY01000087.1,1456,2329,0,95.536,AZIF01000273.9674.11130,Archaea;Euryarchaeota;Thermococci;Methanofastidiosales;uncultured;marine sediment metagenome,0,11,19,0,52.459999999999994
GB_GCA_016212465.1,0,86.92,4.21,149,k__Archaea (UID2),107,0.0,1048285,87.3861392246255,104,553667,46.1542629591006,1199601,GB_GCA_016212465.1,t,d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Norongarragalinales;f__JACRGE01;g__JACRGE01;s__JACRGE01 sp016212465,not type material,none,f,20,20,58210,58210,6573,5,3108,JACRGE010000101.1,34357,1,107,JACRGE010000038.1,1171,719,0,78.48,KP308705.5265.8177,Archaea;Nanoarchaeota;Woesearchaeia;uncultured archaeon,11534,11534,f,f,t,19297,19297,Contig,ASM1621246v1,na,PRJNA640378,SAMN15436390,104,19297,none,2020-12-21,GCA_016212465.1,derived from metagenome,full,NC_groundwater_1743_Pr3_B-0.1um_46_10,none,none,0,0,Candidatus Micrarchaeota archaeon,none,na,2,none,none,none,none,none,2020/12/21,0,2250274,1,NC_groundwater_1743_Pr3_B-0.1um_46_10,Innovative Genomics Institute,2250274,d__Archaea;p__Candidatus Micrarchaeota;c__;o__;f__;g__;s__,d__Archaea;x__DPANN group;p__Candidatus Micrarchaeota;x__unclassified Candidatus Micrarchaeota;s__Candidatus Micrarchaeota archaeon,0,1199601,11,21,none,1199601,0,JACRGE000000000.1,1249,104,6573,3,none,none,none,none,none,none,1810,JACRGE010000101.1,415,405,1.09e-110,84.578,LC080934.1.1434,Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;uncultured archaeon,0,4,5,0,65.87
RS_GCF_000264495.1,0,100.0,0.0,245,c__Thermoprotei (UID148),158,0.0,1239043,91.3534289156378,1,754671,55.6411549503877,1356318,RS_GCF_000264495.1,t,d__Archaea;p__Thermoproteota;c__Thermoproteia;o__Sulfolobales;f__Desulfurococcaceae;g__Thermogladius;s__Thermogladius calderae,type strain of species,LPSN,t,1,1,1356318,1356318,1356318,1,3660,NC_017954.1,none,0,none,none,2099,3877,0,100,CP003531.424047.427705,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;Thermogladius calderae 1633,1356318,1356318,f,f,t,1356318,1356318,Complete Genome,ASM26449v1,na,PRJNA224116,SAMN02603096,none,none,Russia: Uzon caldera; Kamchatka,2012-05-25,GCA_000264495.1,none,full,none,none,none,1,0,Thermogladius calderae 1633,1407,representative genome,3,none,none,none,none,none,2012/05/25,0,1200300,1,1633,Centre Bioengineering RAS,1184251,d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Thermogladius;s__Thermogladius calderae,d__Archaea;x__TACK group;p__Crenarchaeota;c__Thermoprotei;o__Desulfurococcales;f__Desulfurococcaceae;g__Thermogladius;s__Thermogladius calderae;x__Thermogladius calderae 1633,0,1356318,11,46,assembly from type material,1356318,0,none,1421,1,1356318,1,none,none,none,none,none,none,1499,NC_017954.1,1496,2763,0,100,CP003531.422343.423841,Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;Thermogladius calderae 1633,0,20,46,0,100.0
GB_GCA_902384935.1,0,88.79,0.07,149,k__Archaea (UID2),107,0.0,868693,93.7372401082514,23,532914,57.504650751242,926732,GB_GCA_902384935.1,t,d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Norongarragalinales;f__Norongarragalinaceae;g__Norongarragalina;s__Norongarragalina meridionalis,not type material,none,f,4,4,187035,187035,74768,1,980,CABMDO010000012.1,187035,1,106,CABMDO010000009.1,979,1070,0,86.823,MNVI01000038.3285.6154,Archaea;Micrarchaeota;Micrarchaeia;Micrarchaeales;Candidatus Micrarchaeota archaeon CG1_02_55_41,40292,40292,f,f,t,74768,74768,Contig,uncultured DPANN archaeon LFW-144_1,na,PRJEB21808,SAMEA4835423,23,74768,none,2019-08-18,GCA_902384935.1,derived from environmental sample,full,LFW-144_1,none,none,0,0,uncultured archaeon,none,na,2,none,none,none,none,none,2019/08/18,0,115547,1,LFW-144_1,THE UNIVERSITY OF NEW SOUTH WALES,115547,d__Archaea;p__;c__;o__;f__;g__;s__,d__Archaea;x__environmental samples;s__uncultured archaeon,0,926732,11,26,none,926732,0,CABMDO000000000.1,1030,23,29878,1,none,none,none,none,none,none,1278,CABMDO010000016.1,1264,1347,0,86.076,FJ810536.1.1401,Archaea;Micrarchaeota;Micrarchaeia;Micrarchaeales;CG1-02-32-21;uncultured archaeon,0,17,36,0,88.44000000000001
GB_GCA_015522865.1,0,69.63,1.87,149,k__Archaea (UID2),107,0.0,605888,92.9223341620184,65,249044,38.1947650210034,652037,GB_GCA_015522865.1,t,d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__Norongarragalinales;f__WALN01;g__WALN01;s__WALN01 sp015522865,not type material,none,f,15,15,35117,35117,none,0,none,none,none,0,none,none,none,none,none,none,none,none,10031,10031,f,f,t,13600,13600,Contig,ASM1552286v1,na,PRJNA546572,SAMN12837220,65,13600,none,2020-11-16,GCA_015522865.1,derived from metagenome,full,S014_66_esom,none,none,0,none,Candidatus Micrarchaeota archaeon,none,na,none,none,none,none,none,none,2020/11/16,0,2250274,none,S014_66_esom,Portland State University,2250274,d__Archaea;p__Candidatus Micrarchaeota;c__;o__;f__;g__;s__,d__Archaea;x__DPANN group;p__Candidatus Micrarchaeota;x__unclassified Candidatus Micrarchaeota;s__Candidatus Micrarchaeota archaeon,0,652037,none,none,none,652037,0,WALN00000000.1,752,65,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,12,14,0,60.279999999999994
GB_GCA_000402515.1,173,73.11,0.0,149,k__Archaea (UID2),107,0.0,936085,91.6634025968939,38,327796,32.1039090267147,1021220,GB_GCA_000402515.1,t,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__SCGC-AAA011-G17;f__SCGC-AAA011-G17;g__SCGC-AAA011-G17;s__SCGC-AAA011-G17 sp000402515,not type material,none,f,7,7,116957,116957,38023,1,3610,AQRL01000028.1,none,0,none,none,1834,1038,0,77.372,JWKX01000012.66788.69580,Archaea;Nanoarchaeota;Woesearchaeia;archaeon GW2011_AR18,26874,26874,f,f,t,42021,42021,Contig,ASM40251v1,na,PRJNA192509,SAMN02440388,38,42021,none,2013-05-29,GCA_000402515.1,derived from single cell,full,none,none,none,0,none,Nanoarchaeota archaeon SCGC AAA011-G17,0,na,none,none,none,none,none,none,2013/05/29,0,1104577,none,SCGC AAA011-G17,DOE Joint Genome Institute,1104577,d__Archaea;p__Nanoarchaeota;c__;o__;f__;g__;s__,d__Archaea;x__DPANN group;p__Nanoarchaeota;x__unclassified Nanoarchaeota;s__Nanoarchaeota archaeon SCGC AAA011-G17,0,1021220,none,none,none,1021220,0,AQRL00000000.1,1342,38,38023,1,none,none,none,none,none,none,1467,AQRL01000028.1,1455,2687,0,100,AWOG01000036.535.1990,Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;Nanoarchaeota archaeon JGI OTU-1,0,15,22,0,73.11
GB_GCA_004212075.1,0,92.46,1.31,228,p__Euryarchaeota (UID49),153,0.0,1124668,89.462359433031,12,448625,35.6861322636045,1257141,GB_GCA_004212075.1,t,d__Archaea;p__Halobacteriota;c__Methanoliparia;o__Methanoliparales;f__Methanoliparaceae;g__Methanoliparum;s__Methanoliparum thermophilum,not type material,none,f,3,3,319195,319195,192136,1,2926,RXIF01000002.1,192136,1,114,RXIF01000002.1,2950,1349,0,75.458,CR937008.52600.55543,Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;uncultured;uncultured archaeon,104761,104761,t,f,f,192136,192136,Contig,ASM421207v1,na,PRJNA472146,SAMN10390728,12,192136,none,2019-02-19,GCA_004212075.1,derived from metagenome,full,NM1a,none,none,0,0,Candidatus Methanoliparum thermophilum,none,na,3,none,none,none,none,none,2019/02/19,0,2491083,1,NM1a,Institut Pasteur,2491083,d__Archaea;p__Euryarchaeota;c__Candidatus Methanoliparia;o__Candidatus Methanoliparales;f__Candidatus Methanoliparaceae;g__Candidatus Methanoliparum;s__Candidatus Methanoliparum thermophilum,d__Archaea;p__Euryarchaeota;c__Candidatus Methanoliparia;o__Candidatus Methanoliparales;f__Candidatus Methanoliparaceae;g__Candidatus Methanoliparum;s__Candidatus Methanoliparum thermophilum,0,1257141,11,46,none,1257141,0,RXIF00000000.1,1365,12,192136,1,none,none,none,none,none,none,1482,RXIF01000002.1,1453,2409,0,96.628,HM041907.1.1451,Archaea;Halobacterota;uncultured;uncultured Methanosarcinales archaeon,0,20,46,0,85.91
GB_GCA_016211995.1,0,68.46,0.93,149,k__Archaea (UID2),107,0.0,831351,89.9072756295178,86,300520,32.5000324437965,924676,GB_GCA_016211995.1,t,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__DTIR01;g__JACRHU01;s__JACRHU01 sp016211995,not type material,none,f,20,20,40265,40265,none,0,none,none,24411,1,90,JACRHU010000019.1,none,none,none,none,none,none,10752,10752,f,f,t,13794,13794,Contig,ASM1621199v1,na,PRJNA640378,SAMN15436432,86,13794,none,2020-12-21,GCA_016211995.1,derived from metagenome,full,NC_groundwater_1785_Pr3_B-0.1um_33_39,none,none,0,0,Candidatus Pacearchaeota archaeon,none,na,1,none,none,none,none,none,2020/12/21,0,2026773,0,NC_groundwater_1785_Pr3_B-0.1um_33_39,Innovative Genomics Institute,2026773,d__Archaea;p__;c__;o__;f__;g__;s__,d__Archaea;x__DPANN group;x__Candidatus Pacearchaeota;s__Candidatus Pacearchaeota archaeon,0,924676,11,31,none,924676,0,JACRHU000000000.1,1147,86,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,11,26,0,63.809999999999995
GB_GCA_014729345.1,0,78.04,2.8,149,k__Archaea (UID2),107,0.0,1174974,90.721495061553,139,606877,46.8578783517508,1295144,GB_GCA_014729345.1,t,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__WJKB01;g__WJKB01;s__WJKB01 sp014729345,not type material,none,f,34,34,64154,64154,21101,1,2916,WJKB01000046.1,7026,1,97,WJKB01000106.1,2950,1964,0,79.186,KP308742.1709.4649,Archaea;Nanoarchaeota;Woesearchaeia;uncultured archaeon,9317,9317,f,f,t,11822,11822,Contig,ASM1472934v1,na,PRJNA561032,SAMN13151220,139,11822,none,2020-09-24,GCA_014729345.1,derived from metagenome,full,Bin_568,none,none,0,0,Candidatus Woesearchaeota archaeon,none,na,3,none,none,none,none,none,2020/09/24,0,2026803,1,Bin_568,University of New South Wales,2026803,d__Archaea;p__Candidatus Woesearchaeota;c__;o__;f__;g__;s__,d__Archaea;x__DPANN group;p__Candidatus Woesearchaeota;s__Candidatus Woesearchaeota archaeon,0,1295144,11,28,none,1295144,0,WJKB00000000.1,1363,139,21101,1,none,none,none,none,none,none,1582,WJKB01000046.1,623,800,0,89.888,JWKV01000003.14465.15932,Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;archaeon GW2011_AR16,0,5,5,0,64.04
GB_GCA_015523565.1,0,91.12,2.34,149,k__Archaea (UID2),107,0.0,3251116,91.0378901244635,233,1377821,38.5818029283417,3571168,GB_GCA_015523565.1,t,d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__UBA460;f__Kariarchaeaceae;g__WAKA01;s__WAKA01 sp015523565,not type material,none,f,41,41,90253,90253,21852,1,3244,WAKA01000157.1,none,0,none,none,2407,1537,0,78.77,BCSF01007275.2.2427,Archaea;Asgardarchaeota;uncultured marine virus,15326,15326,f,f,t,26054,26054,Contig,ASM1552356v1,na,PRJNA546572,SAMN12837181,233,26054,none,2020-11-16,GCA_015523565.1,derived from metagenome,full,S012_26_esom,none,none,0,none,Candidatus Heimdallarchaeota archaeon,none,na,none,none,none,none,none,none,2020/11/16,0,2026747,none,S012_26_esom,Portland State University,2026747,d__Archaea;p__Candidatus Heimdallarchaeota;c__;o__;f__;g__;s__,d__Archaea;x__Asgard group;p__Candidatus Heimdallarchaeota;s__Candidatus Heimdallarchaeota archaeon,0,3571168,none,none,none,3571168,0,WAKA00000000.1,3348,233,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,17,35,0,79.42
GB_GCA_016935155.1,0,74.3,1.87,149,k__Archaea (UID2),107,33.33,711068,92.2187047299392,59,283402,36.7545232774843,771067,GB_GCA_016935155.1,t,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__UBA10107;g__UBA10107;s__UBA10107 sp016935155,not type material,none,f,16,16,43292,43292,none,0,none,none,34922,1,94,JAFGRQ010000054.1,none,none,none,none,none,none,13068,13068,f,f,t,14908,14908,Contig,ASM1693515v1,na,PRJNA690107,SAMN17243358,59,14908,none,2021-02-24,GCA_016935155.1,derived from metagenome,full,Zod_Metabat.845,none,none,0,0,Candidatus Woesearchaeota archaeon,none,na,1,none,none,none,none,none,2021/02/24,0,2026803,0,Zod_Metabat.845,Oklahoma State University,2026803,d__Archaea;p__Candidatus Woesearchaeota;c__;o__;f__;g__;s__,d__Archaea;x__DPANN group;p__Candidatus Woesearchaeota;s__Candidatus Woesearchaeota archaeon,0,771067,11,31,none,771067,0,JAFGRQ000000000.1,956,59,none,0,none,none,none,none,none,none,none,none,none,none,none,none,none,none,0,17,29,0,64.94999999999999
GB_GCA_015522685.1,0,92.45,1.01,149,k__Archaea (UID2),107,50.0,1287020,87.0965165995125,63,618034,41.8242207114599,1477694,GB_GCA_015522685.1,t,d__Archaea;p__Thermoproteota;c__Korarchaeia;o__Korarchaeales;f__Korarchaeaceae;g__WALU01;s__WALU01 sp015522685,not type material,none,f,11,11,122034,122034,none,0,none,none,108759,1,114,WALU01000032.1,none,none,none,none,none,none,23455,23455,f,f,t,36952,36952,Contig,ASM1552268v1,na,PRJNA546572,SAMN12837227,63,36952,none,2020-11-16,GCA_015522685.1,derived from metagenome,full,S016_48_esom,none,none,0,none,Candidatus Korarchaeota archaeon,none,na,none,none,none,none,none,none,2020/11/16,0,2056630,none,S016_48_esom,Portland State University,2056630,d__Archaea;p__Candidatus Korarchaeota;c__;o__;f__;g__;s__,d__Archaea;x__TACK group;p__Candidatus Korarchaeota;s__Candidatus Korarchaeota archaeon,0,1477694,none,none,none,1477694,0,WALU00000000.1,1618,63,35456,1,none,none,none,none,none,none,849,WALU01000013.1,849,1363,0,95.642,DQ417489.1.1073,Archaea;Korarchaeota;Korarchaeia;Korarchaeales;Korarchaeaceae;Candidatus Korarchaeum;uncultured archaeon,0,19,45,0,87.4
RS_GCF_000166095.1,0,100.0,0.0,188,p__Euryarchaeota (UID3),125,0.0,1169872,94.0909259077551,1,393356,31.6369912703021,1243342,RS_GCF_000166095.1,t,d__Archaea;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermaceae;g__Methanothermus;s__Methanothermus fervidus,type strain of species,LPSN,t,1,1,1243342,1243342,1243342,2,2972,NC_014658.1-#2,1243342,2,111,NC_014658.1-#2,2972,5489,0,100,CP002278.769694.772677,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;Methanothermus fervidus DSM 2088,1243342,1243342,t,f,f,1243342,1243342,Complete Genome,ASM16609v1,na,PRJNA224116,SAMN02232040,none,none,Iceland,2010-11-05,GCA_000166095.1,none,full,none,hot solfataric spring,none,1,0,Methanothermus fervidus DSM 2088,1309,representative genome,6,none,none,none,none,none,2010/11/05,0,2180,2,DSM 2088,US DOE Joint Genome Institute (JGI-PGF),523846,d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanothermaceae;g__Methanothermus;s__Methanothermus fervidus,d__Archaea;p__Euryarchaeota;x__Methanomada group;c__Methanobacteria;o__Methanobacteriales;f__Methanothermaceae;g__Methanothermus;s__Methanothermus fervidus;x__Methanothermus fervidus DSM 2088,0,1243342,11,41,assembly from type material,1243342,0,none,1318,1,1243342,2,none,none,none,none,none,none,1479,NC_014658.1-#2,1478,2730,0,100,CP002278.767977.769457,Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermaceae;Methanothermus;Methanothermus fervidus DSM 2088,0,20,41,0,100.0
GB_GCA_003554965.1,0,97.6,0.92,188,p__Euryarchaeota (UID3),125,0.0,2120187,90.9123146592182,101,996586,42.7329947862956,2332123,GB_GCA_003554965.1,t,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__PWKY01;f__PWKY01;g__Natronoplasma;s__Natronoplasma sp003554965,not type material,none,f,10,10,151972,151972,29513,2,2028,PWHR01000010.1,79368,1,108,PWHR01000009.1,2041,946,0,75.6,CAJE01000012.746457.749365,Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;Methanomassiliicoccus luminyensis B10,23090,23090,f,f,t,79368,79368,Contig,ASM355496v1,na,PRJNA434545,SAMN08575064,101,79368,none,2018-09-12,GCA_003554965.1,derived from metagenome,full,T1Sed10_119m,none,none,0,none,Thermoplasmata archaeon,none,na,none,none,none,none,none,none,2018/09/12,0,1906666,none,T1Sed10_119m,"Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam",1906666,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;o__;f__;g__;s__,d__Archaea;p__Candidatus Thermoplasmatota;c__Thermoplasmata;x__unclassified Thermoplasmata;s__Thermoplasmata archaeon,0,2332123,none,none,none,2332123,0,PWHR00000000.1,2157,101,143353,2,none,none,none,none,none,none,527,PWHR01000020.1,481,743,0,94.595,DQ103683.1.1408,Archaea;Thermoplasmatota;Thermoplasmata;uncultured;uncultured euryarchaeote,0,20,45,0,93.0
